項番,名前,住所,経度,緯度,webページ,名前,写真
1,-,富山県射水市串田6841,137.0450878,36.69194702,http://kushida.main.jp/pg147.html,櫛田神社,https://img2.mypl.net/image.php?id=286563&p=mp&s=600_740&op=
2,-,富山県中新川郡立山町岩峅寺１番地,137.3147142,36.60768125,http://www.oyamajinjya-maetateshadan.org/,雄山神社前立社壇,http://www.oyamajinjya-maetateshadan.org/img/home/slide04.jpg
3,-,富山県富山市磯部町1-1,137.2018844,36.68998177,http://www.toyama-gokoku.jp/news/index.html,富山縣護國神社,https://img2.mypl.net/image.php?id=286463&p=mp&s=600_740&op=
4,-,富山県富山市山王町4-12,137.2135895,36.686628,https://www.hie.jp/,日枝神社,https://www.hie.jp/cms/wp-content/uploads/2017/09/a886520f9b89a327a2b1f2cd3683f04f.jpg
5,-,富山県射水市八幡町2-2-27,137.094348,36.780529,https://www.houjyoudu.com/,放生津八幡宮,https://www.info-toyama.com/storage/tourism_attractions/21058/responsive_images/FrTK1bgTifWKU0LgP1El4GB1HpSJgfwg8lA7UCGF__600_400.jpeg
6,-,富山県南砺市高瀬２９１,136.9482493,36.57132873,https://www.takase.or.jp/,越中一宮 高瀬神社,https://www.takase.or.jp/img/top/mv-img.jpg
